Value/K,Name,IsCustomer,IsVendor,C_BP_Group_ID[Value],Description
C101049,COSTA FORTUNA FUNDAÇOES E CONSTRUÇOES LTDA,Y,N,Standard,BRA
C101073,CM-CIC BAIL SA,Y,N,Standard,FRA
C101091,D. THAKKAR CONSTRUCTIONS PVT. LTD.,Y,N,Standard,IND
C101107,EUROBETON 2005,Y,N,Standard,ALB
C101109,"IMPEXUN SOLUCIONES 128, C.A.",Y,N,Standard,VEN
C101117,LO BRUNO ESTRUCTURAS S.A.,Y,N,Standard,ARG
C101162,FORPIEUX SPA,Y,N,Standard,DZA
C101175,SC FORETIS INJECT SRL,Y,N,Standard,ROM
C101197,STAR LEASE,Y,N,Standard,FRA
C101256,GEOFUNDACIONES DEL PERÚ S.A.C.,Y,N,Standard,PER
C101278,IPEX INFRASTRUCTURE (P) LTD,Y,N,Standard,IND
C101313,AL-TAHER ENGINEERING COMPANY,Y,N,Standard,IRQ
C101320,"UAB ""PAMATU RANGA""",Y,N,Standard,LTU
C101325,GEOTEM JEOTEKNIK MUHEND. MUSAVIRLIK LIM. SIRKETI,Y,N,Standard,TUR
C101355,MALAYSIAN INDUSTRIAL GEOTECHNICAL SDN BHD,Y,N,Standard,MYS
C101372,KARYER MAKINA TICARET ANONIM SIRKETI,Y,N,Standard,TUR
C101390,FRANKIPILE GHANA LIMITED,Y,N,Standard,GHA
C101393,ANCHOR FOUNDATION SPECIALIST PLC,Y,N,Standard,ETH
C101401,ING-JET d.o.o.,Y,N,Standard,HRV
C101412,POLESIE POLAND Sp. z.o.o. (POLAND),Y,N,Standard,POL
C101413,SOLETANCHE BACHY INTERNATIONAL,Y,N,Standard,FRA
C101460,MARTI CONSTRUCTION SA,Y,N,Standard,CHE
C101482,"GEOTECHNINIAI DARBAI, LTD",Y,N,Standard,LTU
C101493,BENTAL SOIL DRILLING EQUIPMENT LTD,Y,N,Standard,ISR
C101505,INTERNATIONAL DRILLING EQUIPMENT (CANADA) INC.,Y,N,Standard,CAN
C101516,ICOP SUCCURSALE EN FRANCE,Y,N,Standard,FRA
C101526,GEOMAT d.o.o.,Y,N,Standard,HRV
C101533,EURL CDT - CHANTIERS DIVERS TRAVAUX,Y,N,Standard,DZA
C101551,AMMICO CONTRACTING CO. LTD.,Y,N,Standard,SAU
C101560,SBR SOLETANCHE BACHY FUNDATII SRL,Y,N,Standard,ROM
C101577,"SINCLAIR WELL PRODUCTS, INC.",Y,N,Standard,USA
C101583,MEHUL GEO PROJECTS LLP,Y,N,Standard,IND
C101596,AFCONS OVERSEAS PROJECT GABON SARL,Y,N,Standard,GAB
C002711,SPECIALIZED CONTRACTING & INDUSTRIES CO.,Y,N,Standard,EGY
C002717,INJECTOSOND ITALIA S.R.L.,Y,N,Standard,ITA
C002767,INTERCANTIERI VITTADELLO SPA,Y,N,Standard,ITA
C002820,MOIX & ZORZI S.A.,Y,N,Standard,CHE
C002850,SIF GROUTBOR SA non usare,Y,N,Standard,CHE
C002852,MARTI AG BERN,Y,N,Standard,CHE
C002894,"OOO ""SMU ENGEOKOM""",Y,N,Standard,RUS
C003043,DI VINCENZO DINO & C. SPA,Y,N,Standard,ITA
C013451,SMA SERBATOI S.P.A.,Y,N,Standard,ITA
C016478,BONFIGLIOLI S.P.A.,Y,N,Standard,ITA
C017121,GEORENT S.R.L.,Y,N,Standard,ITA
C100077,SOMATRA-GET,Y,N,Standard,TUN
C100081,CONSTRUCTION AND PILING EQUIPMENT LTD.,Y,N,Standard,THA
C100175,JUAN CARLOS PIERANTONI,Y,N,Standard,ARG
C100207,IMB - SPIRK GMBH,Y,N,Standard,AUT
C100229,BEHROOZ COMPANY LTD.,Y,N,Standard,IRN
C100230,HUETTE BOHRTECHNIK GMBH,Y,N,Standard,DEU
C100233,AUTANA EQUIPOS LTDA,Y,N,Standard,CHL
C100249,ECAS S.A.,Y,N,Standard,ARG
C100297,VIADUKTS LTD.,Y,N,Standard,LVA
C100303,EDRAFOR S.A.L.,Y,N,Standard,LBN
C100309,"PJSC ""KIEVMETROBUD""",Y,N,Standard,UKR
C100310,SOCIETE GENERALE DES TRAVAUX DU MAROC,Y,N,Standard,MAR
C100364,PRIZMA D.O.O.,Y,N,Standard,HRV
C100366,"PTC-ERS, SA DE CV.",Y,N,Standard,MEX
C100379,PRO-FOND,Y,N,Standard,FRA
C100416,RGP d.o.o.,Y,N,Standard,SVN
C100430,NOVKOL A.D.,Y,N,Standard,SRB
C002685,SCS S.C.A.R.L.,Y,N,Standard,ITA
C002720,BENCOR,Y,N,Standard,USA
C002739,OSTOVIC MARINO E DOBRAN JADRANKA,Y,N,Standard,ITA
C002807,F.LLI LIVIERI SNC DI LIVIERI BRUNO & C.,Y,N,Standard,ITA
C002856,UNICREDIT LEASING S.P.A.,Y,N,Standard,ITA
C002858,MEIER + JAEGGI AG,Y,N,Standard,CHE
C002956,HYDROSOL FONDATIONS,Y,N,Standard,TUN
C002964,IMPRESA DI COSTRUZ.ING.E. MANTOVANI SPA,Y,N,Standard,ITA
C003013,JOHN WAGSTAFF CONSTRUCTIONS PTY. LTD.,Y,N,Standard,AUS
C009998,CASAGRANDE S.P.A.,Y,N,Standard,ITA
C012659,LUCCHESE FERRAMENTA S.N.C,Y,N,Standard,ITA
C016066,OLEOBI S.R.L.,Y,N,Standard,ITA
C017128,DEUTZ ITALY SRL,Y,N,Standard,ITA
C018121,OFFICINE DELLA CANONICA S.R.L.,Y,N,Standard,ITA
C018319,FEAG  FOUNDATION EQUIPMENT A.G.,Y,N,Standard,CHE
C100033,CASAGRANDE S.P.A. FIERA BAUMA,Y,N,Standard,DEU
C100042,MIL & MIL CO.,Y,N,Standard,SRB
C100055,PROJECTO,Y,N,Standard,EGY
C100150,MATECH MASTER OF TECHNOLOGY,Y,N,Standard,TUN
C100166,PTC,Y,N,Standard,FRA
C100179,SOLETANCHE BACHY FONDATIONS SPECIALES,Y,N,Standard,FRA
C100202,TECSOL SL,Y,N,Standard,AND
C100216,SIERRA PILING (PVT) LIMITED,Y,N,Standard,LKA
C100242,BFS  GMBH,Y,N,Standard,DEU
C100253,MARTI AG MOOSSEEDORF,Y,N,Standard,CHE
C100292,CASAGRANDE S.P.A. C/O FIERA INTERMAT,Y,N,Standard,FRA
C100314,KUVEYT TURK KATILIM BANKASI A.S.,Y,N,Standard,TUR
C100333,ZETAS ZEMIN TEKNOLOJILERI A.S.,Y,N,Standard,TUR
C100335,LHR D.O.O.,Y,N,Standard,SRB
C100344,"LLC ""OSNOVA""",Y,N,Standard,UKR
C100352,ENGESTRAUSS ENGENHARIA E FUNDAÇÕES LTDA,Y,N,Standard,BRA
C100362,CCGT CANALISATIONS SARL,Y,N,Standard,MAR
C100367,DRILLER OY,Y,N,Standard,FIN
C100405,GEOTEHNIKA SARL,Y,N,Standard,MAR
C100421,S.C. CONSTRUCTII SI SERVICII  SRL,Y,N,Standard,ROM
C100422,CIMERTEX- SOCIEDADE DE MAQUINAS E EQUIPAMENTOS S.A,Y,N,Standard,PRT
C002808,ISR INJECTOBOHR S.A.,Y,N,Standard,CHE
C002985,TECNOSUELO S.A. DE C.V.,Y,N,Standard,MEX
C003048,FIN.EDIL SRL,Y,N,Standard,ITA
C012470,FORMARO SPEDIZIONI S.R.L.,Y,N,Standard,ITA
C015040,"V.I.P.  S.N.C. ""NON USARE""",Y,N,Standard,ITA
C016149,HIDROMEC S.R.L.,Y,N,Standard,ITA
C017560,OFFICINA FRANDOLI S.R.L.,Y,N,Standard,ITA
C017819,EURODRILL GMBH,Y,N,Standard,DEU
C018115,ANSELMI S.R.L.,Y,N,Standard,ITA
C018461,CARANDINA S.R.L.,Y,N,Standard,ITA
C100030,FOUNDATION ASSOCIATES ENGINEERING PTE LTD,Y,N,Standard,SGP
C100032,HYTEC ABU DHABI (LLC),Y,N,Standard,AEA
C100100,QUINN PILING LIMITED,Y,N,Standard,GBR
C100118,"MAUCO, S.A.",Y,N,Standard,AND
C100211,"MINH HOANG & CO., LTD.",Y,N,Standard,VNM
C100280,GEOINVEST D.O.O.,Y,N,Standard,SVN
C100281,SARL G.E.T.S.,Y,N,Standard,DZA
C100353,LENTA FRANCE  S.A.R.L.,Y,N,Standard,FRA
C100355,SUDIMAT,Y,N,Standard,FRA
C100457,GEOKOP D.O.O.,Y,N,Standard,SVN
C100458,SELECT PLANT HIRE COMPANY LTD,Y,N,Standard,GBR
C100480,X CEE,Y,N,Standard,ESP
C100514,A-Z PREZIP a.s.,Y,N,Standard,CZE
C100547,GFWA CONTRACTING PTY LTD,Y,N,Standard,AUS
C100600,"OOO ""REITING""",Y,N,Standard,RUS
C100610,THL FOUNDATION EQUIPMENT PTE LTD,Y,N,Standard,SGP
C100626,VAN ELLE LTD,Y,N,Standard,GBR
C000006,BRONNER G.M.B.H.,Y,N,Standard,DEU
C000027,CIANCALEONI S.R.L.,Y,N,Standard,ITA
C000051,SAMPIERANA  S.P.A.,Y,N,Standard,ITA
C000081,PANCAR S.R.L.,Y,N,Standard,ITA
C100646,CONSTRUCTION EQUIPMENT SERVICE,Y,N,Standard,USA
C100688,ESTRATOS TRATAMIENTOS ESPECIALES DEL TERRENO S.A.,Y,N,Standard,CHL
C100716,GEOTEHNIKA - INZENJERING D.O.O.,Y,N,Standard,HRV
C100769,BCR LEASING IFN S.A.,Y,N,Standard,ROM
C100778,"OOO ""G.S.K.""",Y,N,Standard,GEO
C100790,UYGUNLAR ANONIM SIRKETI,Y,N,Standard,AZE
C100843,RAIL STAR INTER.L TECHNOLOGY & CONSULTANTS LIMITED,Y,N,Standard,CHN
C100878,CONSTRUCTORA PRECOMPRIMIDOS S.A.,Y,N,Standard,COL
C100885,STRABAG-MML KFT.,Y,N,Standard,HUN
C100947,COLAS S.A.,Y,N,Standard,FRA
C100993,HIDALGO E HIDALGO SA,Y,N,Standard,ECU
C100995,UNIDECO S.A.,Y,N,Standard,ECU
C101010,TELNIKS SH.P.K.,Y,N,Standard,ALB
C101111,GEOWORKS S.A.R.L.,Y,N,Standard,LBN
C101112,URMILLA ENTERPRISES PVT. LTD.,Y,N,Standard,IND
C101122,MARAGRO SRL,Y,N,Standard,ROM
C101137,ENGINEERING AND RESEARCH INTERNATIONAL E.R.I. SARL,Y,N,Standard,LBN
C101149,C.F.A. DRILLING LTD.,Y,N,Standard,ISR
C101151,AGRIMEIES SRL,Y,N,Standard,ROM
C101152,BANYAN CONTRACTING & TRADING CO.,Y,N,Standard,IND
C101156,M.A.E. SARL,Y,N,Standard,LBN
C101166,INTERNATIONAL DRILLING EQUIP.INC,Y,N,Standard,USA
C101191,AMMAR GENERAL TRADING AB,Y,N,Standard,SWE
C101193,COSTA FORTUNA S.A.,Y,N,Standard,URY
C101205,P.P.H.U. EUROMETAL,Y,N,Standard,POL
C101216,KELLER GROUND ENGINEERING INDIA PRIVATE LTD.,Y,N,Standard,IND
C101239,MAQUINA SOLO MÁQUINAS E EQUIPAMENTOS LTDA,Y,N,Standard,BRA
C101251,SOFINANCE SPA,Y,N,Standard,DZA
C101253,ARIEL GABAY FOUNDATION LTD.,Y,N,Standard,ISR
C101272,BRASECOL ENGENHARIA E FUNDAÇÕES LTDA.,Y,N,Standard,BRA
C101274,CIYATEK,Y,N,Standard,LKA
C101371,"OOO SK ""RAIDEX""",Y,N,Standard,RUS
C101383,STL DRILLING SDN. BHD.,Y,N,Standard,MYS
C101389,SEYTAS LIMITED,Y,N,Standard,AED
C101407,JOSE  LUIS LEYVA ESCORZA,Y,N,Standard,MEX
C101409,GLUMPTAIN HOLDING LIMITED,Y,N,Standard,CYP
C101410,SALINI IMPREGILO S.p.A.,Y,N,Standard,ETH
C101418,D. THAKKAR CONSTRUCTIONS PRIVATE LIMITED,Y,N,Standard,IND
C101424,RODRILL INC.,Y,N,Standard,USA
C101428,SC SO.NA.CO.  SRL,Y,N,Standard,ROM
C101429,"OOO ""RnB""",Y,N,Standard,RUS
C101431,RITA ROSENZWIT GMBH,Y,N,Standard,DEU
C101440,TEKHNINT SA,Y,N,Standard,CHE
C101483,PEMECA S.R.O.,Y,N,Standard,CZE
C101490,BPD GEOTEK SOLUTIONS SA (PTY) LTD,Y,N,Standard,ZAF
C101494,FERBILD D.O.O.,Y,N,Standard,SRB
C101497,B.H. MICROPILE ISRAEL DRILLING LTD,Y,N,Standard,ISR
C101500,JIANGSU HENGLI HYDRAULIC CO. LTD,Y,N,Standard,CHN
C101501,PAVSOLO CONSTRUTORA LTDA.,Y,N,Standard,BRA
C101508,NIR DRILLING MICROPILE LTD,Y,N,Standard,ISR
C101515,I.CO.P. Denmark APS,Y,N,Standard,DNK
C101528,EXTREME PILING & CONSTRUCTION COMPANY LTD.,Y,N,Standard,NGA
C101609,DUGDA CONSTRUCTION PLC,Y,N,Standard,ETH
C101622,EURL ETPBH S.BOUZIDA,Y,N,Standard,DZA
C101624,PROEKOGRADNJA D.O.O.,Y,N,Standard,HRV
C101659,TTG PLUS LTD.,Y,N,Standard,BGR
C101660,DISEPIL MEGAPRESS SAS,Y,N,Standard,COL
C101664,EURO REP S.A.P.I. DE C.V.,Y,N,Standard,MEX
C101685,FONDERIE G.M. BOUHYER S.A.S.,Y,N,Standard,FRA
C101699,BRANCH OF WEBUILD S.P.A. IN TAJIKISTAN,Y,N,Standard,TJK
C101702,VIPP LAVORI SPECIALI SARL,Y,N,Standard,FRA
C101707,OLIZKI MINING (1990) LTD.,Y,N,Standard,ISR
C101715,TMS TECHNICAL & MARITIME SUPPLIES B.V.,Y,N,Standard,NLD
C101717,"OOO ""STROITELNYE TEKHNOLOGII""",Y,N,Standard,RUS
C101722,SOLETANCHE BACHY ANTILLES GUYANE SAS,Y,N,Standard,MTQ
C101725,SHIMSHONE PIPE AND CONSTRUCTION WORKS LTD,Y,N,Standard,ISR
C101727,AFCONS OVERSEAS SINGAPORE PTE LTD GUINEE SUCC,Y,N,Standard,GIN
C101730,ARCALAR SOLUCIONES S.A.S.,Y,N,Standard,COL
C101731,UNOGRADNJA V.V. DOO,Y,N,Standard,SRB
C101741,"LLC ""ENGINEERING-PRODUCTION GROUP""",Y,N,Standard,UKR
C101743,AKASH GANGA INFRAVENTURES INDIA LTD.,Y,N,Standard,IND
C101746,"ASN LOGISTICS, s.r.o.",Y,N,Standard,CZE
C002688,SO.GEO S.R.L.,Y,N,Standard,ITA
C002693,NOUVELLE FONDACAL SAS,Y,N,Standard,NCL
C002812,KELLER - MTS S.A.,Y,N,Standard,CHE
C002833,PERFORA S.A.,Y,N,Standard,CHE
C002847,COS.PER.IMM. S.R.L.,Y,N,Standard,ITA
C002887,"MECANIZACION Y MINERIA, S.A.",Y,N,Standard,ESP
C002974,COS.IDRA. S.R.L.,Y,N,Standard,ITA
C010988,VECCHI ANTONIO S.R.L.,Y,N,Standard,ITA
C011133,BELLIN S.P.A.,Y,N,Standard,ITA
C013122,MODULMEC INGRANAGGI S.R.L,Y,N,Standard,ITA
C017350,HYTEC INTERNATIONAL (LLC),Y,N,Standard,AED
C017722,OFFICINE CAR S.R.L.,Y,N,Standard,ITA
C100023,ZGP SARAJEVO,Y,N,Standard,BIH
C100044,RITCHIES (Division of Edmund Nuttal Ltd),Y,N,Standard,GBR
C100048,"INGENIERÍA DE SUELOS GEOINTER, C.A.",Y,N,Standard,VEN
C100167,GEOFIX ENGENHARIA FUNDAÇOES E ESTAQ. S/E LTDA,Y,N,Standard,BRA
C100264,RODIO GEOTECHNIK AG,Y,N,Standard,CHE
C100389,SUGAM INFRASTRUCTURE LIMITED,Y,N,Standard,IND
C100418,PILEQUIP SA,Y,N,Standard,ZAF
C100492,S.C.B. S.A.,Y,N,Standard,MDG
C100503,ALAA INDUSTRIAL EQUIPMENT (W.L.L.),Y,N,Standard,QAT
C100534,AUGSBURGER GEOTHERMIE SA,Y,N,Standard,CHE
C100539,DESIGNING & BUILDING ENTERPRISE AZOVINTEX LTD.,Y,N,Standard,UKR
C100558,G.K. GRUPA d.o.o.,Y,N,Standard,HRV
C100597,HIDEPITO-SOLETANCHE BACHY MELYALAPOZO KFT.,Y,N,Standard,HUN
C100638,BALIAN ARKADI,Y,N,Standard,RUS
C100714,HIDROINJEKT LTD.,Y,N,Standard,BGR
C100729,"CASAGRANDE USA, INC.",Y,N,Standard,USA
C100744,RAIL STAR INTER.L TECHNOLOGY & CONSULTANTS LIMITED,Y,N,Standard,HKG
C100774,PETRIFOND FOUNDATION COMPANY LTD,Y,N,Standard,CAN
C100784,DELAVOET & FILS SARL,Y,N,Standard,FRA
C100796,VAN HAUT NV,Y,N,Standard,BEL
C100806,HCM CONTRACTORS INC.,Y,N,Standard,CAN
C100827,"UAB ""VILNIAUS RENTINYS""",Y,N,Standard,LTU
C000023,ELSE S.P.A. *** TEST ***,Y,N,Standard,ITA
C000045,SIP & T  S.P.A.,Y,N,Standard,ITA
C000057,SELMABIPIEMME LEASING S.p.A.,Y,N,Standard,ITA
C101540,SARITHA INFRA & GEOSTRUCTURES,Y,N,Standard,IND
C101554,MARLUM NIGERIA LIMITED,Y,N,Standard,NGA
C101558,SANKEN OVERSEAS MALDIVES (PVT) LTD.,Y,N,Standard,MDV
C101564,MCMILLAN CIVIL Ltd,Y,N,Standard,NZL
C101569,ITALPERÚ CIMENTACIONES S.R.L.,Y,N,Standard,PER
C101572,PROMTECHSERVICE LTD.,Y,N,Standard,RUS
C000009,GEOTECH  S.R.L.,Y,N,Standard,ITA
C000029,TREVI S.P.A.,Y,N,Standard,ITA
C000041,TECNO PALI APUANA S.R.L.,Y,N,Standard,ITA
C101544,RE.IG D.O.O. PORTOROZ,Y,N,Standard,SVN
C101547,ENATRA FONDATIONS SAS,Y,N,Standard,FRA
C101552,SARL LAZRI ET FILS FONDATION SPECIALES,Y,N,Standard,DZA
C101556,SARL FONDATECH,Y,N,Standard,DZA
C101566,GEOCONSTRUCTION SA,Y,N,Standard,GRC
C101584,JRL PLANT AND LOGISTICS LIMITED,Y,N,Standard,GBR
C101605,NCC LIMITED,Y,N,Standard,IND
C101636,AL-ZAHEM INT.L GROUP TRADING & CONTRACTING CO. WLL,Y,N,Standard,KWT
C101647,BP STAVBY Morava s.r.o.,Y,N,Standard,CZE
C101676,IMP.DI COSTRUZIONI ING.E.MANTOVANI SPA,Y,N,Standard,JOR
C101678,MONAFOND SARL,Y,N,Standard,MCO
C101581,FARRELL DESIGN-BUILD COMPANIES INC.,Y,N,Standard,USA
C101585,LC HYDRAULIC SERVICES SDN BHD,Y,N,Standard,MYS
C101586,HERITAGE INFRASPACE (INDIA) PRIVATE LIMITED,Y,N,Standard,IND
C101591,ENTREPRISE SUBSOL,Y,N,Standard,FRA
C101602,ARAB TOWERS CONTRACTING CO.,Y,N,Standard,JOR
C101608,DUTCH FOUNDATION&CONCRETE REHABILITATION CO. WLL,Y,N,Standard,AEA
C101612,ANYTECH SCANDINAVIAN AB,Y,N,Standard,SWE
C101614,LTS SARL,Y,N,Standard,LUX
C101621,SARL HOLES SEVEN,Y,N,Standard,DZA
C101628,SAS DACQUIN LOGISTIQUE,Y,N,Standard,FRA
C101635,AUTO ELECTRO MECH PVT LTD,Y,N,Standard,NPL
C101640,AGINTECO INGENIERÍA PANAMÁ S.A.,Y,N,Standard,PAN
C101642,IMPEX SOLUTIONS FZCO,Y,N,Standard,DJI
C101644,SREI EQUIPMENT FINANCE Ltd,Y,N,Standard,IND
C101649,INDIANA BUILD INFRASTRUCTURE PVT LTD,Y,N,Standard,IND
C101651,HANYANGGI CHO. CO. LTD.,Y,N,Standard,KOR
C101653,HANBAEKJJ COMPANY,Y,N,Standard,KOR
C101658,SOCIEDAD ANCLAJES CHILE LTDA.,Y,N,Standard,CHL
C101675,INFRACON RESOURCES & DEVELOPMENT PRI,Y,N,Standard,IND
C101677,DILIP BUILDCON LIMITED,Y,N,Standard,IND
C101684,CHINA RAILWAY ENGINEERING MACHINERY RESEARCH &,Y,N,Standard,CHN
C101696,MG & C. MARCONE GROUP & COMPANY S.R.L.,Y,N,Standard,DOM
C101712,TRACK INTERNATIONAL FOUNDATION L.L.C.,Y,N,Standard,AEA
C101714,KUMAR SHRESTHA NIRMAN SEWA PVT. LTD.,Y,N,Standard,NPL
C101724,GEOINVEST D.O.O.,Y,N,Standard,HRV
C101733,DELL ACQUA C.A. SUCURSAL DEL PERU,Y,N,Standard,PER
C101735,RAJENDRA NIRMAN SEWA PVT. LTD,Y,N,Standard,NPL
C101738,"JSC ""BMGS""",Y,N,Standard,LVA
C101742,IMPERIAL SUISSE Sagl,Y,N,Standard,CHE
C101745,SOLGRO GROUND ENGINEERING SOLUTIONS,Y,N,Standard,GRC
C101747,OTTO BOHR AG,Y,N,Standard,CHE
C101769,DREDGING INTERNATIONAL ASIA PACIFIC PTE LTD,Y,N,Standard,SGP
C101771,McBUND RUS LTD.,Y,N,Standard,RUS
C101773,COMPACT LACOLI SRL,Y,N,Standard,ROM
C101776,S.AG SHPK,Y,N,Standard,ALB
C101778,"OOO ""STROY-INVEST""",Y,N,Standard,RUS
C101782,SHIKUN BINUI-SOLEL BONEH-INFRASTRUCTURE,Y,N,Standard,ISR
C101792,SIERRA CONSTRUCTION LTD.,Y,N,Standard,LKA
C101817,WEST HUNGARIA BAU KFT.,Y,N,Standard,HUN
C101819,WAGAD INFRAPROJECTS PVT. LTD.,Y,N,Standard,IND
C101830,GEODRILL d.o.o.,Y,N,Standard,SVN
C101832,GEO STRUCTURES S.A. DE C.V.,Y,N,Standard,HND
C101836,RB HOLDING DOO,Y,N,Standard,MNE
C101840,"SAMHWASNA CO., LTD",Y,N,Standard,KOR
C101841,STRABAG ALTALANOS EPITO KFT.,Y,N,Standard,HUN
C101846,ML ERATO S.R.L.,Y,N,Standard,ROM
C101868,SAFE LAND GENERAL TRADING (L.L.C.),Y,N,Standard,AED
C101873,GEIZER MARIO S.R.L.,Y,N,Standard,ROM
C101880,SOENCO SOLUCIONES GEOTÉCNICAS LTDA.,Y,N,Standard,CHL
C101882,MIJOVI SRL,Y,N,Standard,ARG
C101887,KALIKA CONSTRUCTION (PVT) LTD.,Y,N,Standard,NPL
C101889,VSL SYSTEMS (UK) LTD,Y,N,Standard,GBR
C101894,CAUCASUS PRODUCTION LLC,Y,N,Standard,GEO
C101904,GEOBIM d.o.o.,Y,N,Standard,HRV
C101914,SOIL CONSOLIDATION S.R.L.,Y,N,Standard,ROM
C101930,SDF SPECIAL DRILLING FOUNDATIONS SA,Y,N,Standard,CHE
C101936,S.A.M. L.M.T.S.,Y,N,Standard,MCO
C101937,GOVERNMENT OF NEPAL - MINISTRY OF PHYSICAL,Y,N,Standard,NPL
C101939,AVRAHAM AMRAM & SONS Ltd,Y,N,Standard,ISR
C101944,ICOP NORWAY,Y,N,Standard,NOR
C101970,HAWAIIAN DREDGING CONSTRUCTION Co,Y,N,Standard,USA
C101973,AFCONS INFRASTRUCTURE LTD,Y,N,Standard,BGD
C101975,"CHINA RAILWAY N°10 ENGINEERING GROUP CO., LTD",Y,N,Standard,PER
C101976,INDIGO INFRAPROJECTS PVT. LTD.,Y,N,Standard,IND
C101979,"OOO ""RAIDEX""",Y,N,Standard,RUS
C101994,"TOA-TONE BORING CO., LTD.",Y,N,Standard,JPN
C102012,HOLLAND REPAIR AND SERVICES BV,Y,N,Standard,NLD
C102019,HUETTE BOHRTECHNIK GMBH,Y,N,Standard,DNK
C102021,HC MATCON INC.,Y,N,Standard,CAN
C102027,ZNT EPITOIPARI ZRT.,Y,N,Standard,HUN
C102033,BOSSIL D.O.O.,Y,N,Standard,BIH
C102057,FORAGES BLACHON MAXIME,Y,N,Standard,FRA
C101697,"KANGHO GEO CO., LTD",Y,N,Standard,KOR
C101703,N.C. DAS & COMPANY,Y,N,Standard,IND
C101708,CIVICON LIMITED,Y,N,Standard,KEN
C101710,ALPHA FOCUS (M) SDN. BHD.,Y,N,Standard,MYS
C101711,"OOO ""DRILTEK""",Y,N,Standard,RUS
C101720,"CLE-BAGECI-GALERE, ASS. MOMENT.",Y,N,Standard,LUX
C101721,OGRANAK INTEGRAL INZENJERING NIS,Y,N,Standard,SRB
C101723,JUST CONSULTING S.R.L.,Y,N,Standard,ROM
C101739,SBP S.A.C.,Y,N,Standard,PER
C101749,PILING RIG HIRE Ltd,Y,N,Standard,GBR
C101750,MOTA-ENGIL PERÚ S.A.,Y,N,Standard,PER
C101751,ORIX FACTORING MALAYSIA SDN BHD,Y,N,Standard,MYS
C101753,"AFCONS INFRASTRUCTURES KUWAIT FOR BUILDING, ROAD",Y,N,Standard,KWT
C101756,"OOO ""SPEZSTROYTEHNIKA""",Y,N,Standard,RUS
C101758,"UAB ""EUROPEAN TRANSIT SERVICE""",Y,N,Standard,LTU
C101763,GEOPUNKT SPEZIALTIEFBAU GMBH,Y,N,Standard,DEU
C101766,LAXMIPATI BALAJI EXIM TRADING LIMITED,Y,N,Standard,IND
C101767,SOGEFON SAM,Y,N,Standard,MCO
C101768,CIMENTACIONES MEXICANAS SA DE CV,Y,N,Standard,MEX
C101774,EURO-ASFALT,Y,N,Standard,BIH
C101789,GIS-GEOTECHNICAL INVESTIGATION SOLUTIONS LTD,Y,N,Standard,MUS
C101791,ANK / LUMBINI / ASHISH J/V,Y,N,Standard,NPL
C101793,EURL TRANS ENGIN,Y,N,Standard,DZA
C101798,VINCI CONSTRUCTION FRANCE,Y,N,Standard,FRA
C101805,JIDAN ENGINEERS & CONSTRUCTION LTD,Y,N,Standard,NGA
C101813,SHIKUN & BINUI-SOLEL BONEH INFRASTRUCTURE LTD,Y,N,Standard,ISR
C101815,NEFTAS MAKINA SAN. TIC. A.S.,Y,N,Standard,TUR
