Value/K,Name,Description,SKU,IsActive,IsSummary,M_Product_Category_ID[Value],C_TaxCategory_ID[Name],C_UOM_ID[Name],ProductType,R_MailText_ID[Name],Weight,Volume,IsOwnBox,M_FreightCategory_ID[Value],IsDropShip,IsStocked,M_Locator_ID,IsManufactured,IsPhantom,ShelfWidth,IsKanban,IsSelfService
IMP018,VENTILATORE ASSIALE,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
TL 373,VENITEM UNITA' DI ALIMENTAZIONE,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
TL375,VENITEM UNITA' DI ALIMENTAZIONE,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
TCA 24,VENITEM SCHEDA DI CONTROLLO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
550000066,"VASO ESPANSIONE 1,5 BAR 24 LT PN 16 1""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
A032R27,VASO ESPANS.LT 24 VERT. 16BA,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
VALV09,VALVOLA UMIDO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
VALV.T.PAN,VALVOLA TERMICA PANCALDI,,,Y,N,EFC,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
VALV.T.JOFO,VALVOLA TERMICA JOFO,,,Y,N,EFC,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
VALV.T.CAO,VALVOLA TERMICA CAODURO,,,Y,N,EFC,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
VALV.T.BAS,VALVOLA TERMICA BASSO,,,Y,N,EFC,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
2700409,VALVOLA TERM.CON FIAL+ARCHETTO MINGARDI,,,Y,N,EFC,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
VALV03,VALVOLA SPRINKLER TRIMESTRALE,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
VALV01,VALVOLA SPRINKLER SEMESTRALE,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
5201GH,"VALVOLA SFERA 1""  NASPO",,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
610000062,"VALVOLA RITEGNO CLAPET TENUTA GOMMA1/2""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
190000055,"VALVOLA RITEGNO A MANIC.FIL.GAS FF1""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
VALV02,VALVOLA RETE IDRICA,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
0218C,"VALVOLA PULS.ENTR.W28,8 USC.W21,7 ROSSA",,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
0213C,"VALVOLA PULS.ENTR.M.25X2 USC.W21,7 ROSSA",,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
VALV05,VALVOLA INTERCETTO SPRINKLER,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
VALV11,VALVOLA INTERCETTO MENSILE,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
VALV04,VALVOLA INTERCETTO IDRANTI,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
VALV07,VALVOLA INTERCETTO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
2910000022,VALVOLA GALLEGGIANTE MOD.ATHENA 3 VIE,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
VALV.ASP,"VALVOLA EUROPA 4""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
2653408,VALVOLA CON INDICATORE DI APERTURA DN100,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
VALV06,VALVOLA ATTIVAZIONE MANUALE,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
ELV001,VALVOLA APERTURA RETE IRD.,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
VALV08,VALVOLA A SECCO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
0212EM,VALVOLA A PULSANTE X EST.PORTATILE,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
0214R,VALVOLA A LEVA X EST.CARRELLATO,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
VALV10,VALVOLA A DILUVIO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
375MB,"VALVOLA  SFERA 3/4""  X LANCIA CARRELLATO",,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
200058PH,VALIGETTA P.S. VUOTA ARANCIO,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
8021,VALIGETTA P.S. KIT USTIONI MINIFIRE,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
7801,VALIGETTA P.S. KIT TRAVEL,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
6607,VALIGETTA P.S. C ALL2 <3 MASTER MED,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
6604/NS,VALIGETTA P.S. A-B ALL1 >3  NO SFIGMOM,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
6604,VALIGETTA P.S. A-B ALL1 >3  BASE,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
6604 DIG,VALIGETTA P.S. A-B ALL1 >3  + SFIG DIG,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PORT0060,USC.DI SICUR.2 ANTE SCORREVOLE,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PORT0059,USC.DI SICUR.2 ANTE,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PORT0061,USC.DI SICUR.1 ANTA SCORREVOLE,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PORT0058,USC.DI SICUR.1 ANTA,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
UTKLAMP409W,UNITEK TARGA OTTICO ACUSTICA  24W,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
UDS-N,UNITA'  DI SPEGNIMENTO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
1645-2,UGELLO EROGATORE SCHIUMA L 3/6/9 DIRITTO,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
9296EM,TUTA FR PROBAN CAT.II^ EN ISO 11612:2009,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
3230000007,"TUBO ZINCATO VITE MANIC. SP.2,6 MM1/2""",,,Y,N,IMP,Cat. IVA 22% ,meter,I,,0,0,N,,N,Y,,N,N,0,N,N
3230000009,"TUBO ZINC.VITE S195T SPESS.3,2MM 1""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
5325 GH,TUBO SEMIRIGIDO BIANCO DN25 DA Meter.25,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
5320 GH,TUBO SEMIRIGIDO BIANCO DN25 DA Meter.20,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
TS25CM,TUBO RACCORDO TUBO-SCATOLA D25,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
TS20CM,TUBO RACCORDO TUBO-SCATOLA D20,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
DX15025CM,TUBO PESANTE CORRUG FK15/25 NERO 39125,,,Y,N,IMP,Cat. IVA 22% ,meter,I,,0,0,N,,N,Y,,N,N,0,N,N
DX15020CM,TUBO PESANTE CORRUG  FK15/20 NERO 39120,,,Y,N,IMP,Cat. IVA 22% ,meter,I,,0,0,N,,N,Y,,N,N,0,N,N
5308 GH,"TUBO DI COLLEGAMENTO MOLLA BIANCO Meter.0,8",,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
TREPPIEDE,TREPPIEDE,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
6210-1,TORCIA UK4AA ELED CERT.ATEX,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
15946,"TM VALVOLA RITEGNO VALSTOP NBR FF 2""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
15957,"TM FILTRO INOX X VALVOLA DI FONDO 2""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
ZB4BG4,TESTA SELETTORE A CHIAVE 2 POSIZIONI,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
ZB4BG2,TESTA SELETTORE A CHIAVE 2 POS.,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
231KHF,TERZO PUNTO CHIUSURA CIRCEO SAVIO,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
TEND1,TENDA TAGLIAFUMO,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PORT0010,TENDA AVVOLGIBILE REI,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
BF3800A024,TELERUTTORE/CONTATORE LOVATO BF3800A024,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
BF3800A230,TELERUTTORE LOVATO LOVBF3800A230,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
0121TELAIO,TELAIO COMP. CARRELLATO 50KG POLV,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
0120EM,TELAIO COMP. CARRELLATO 30KG POLV,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
CA50GIBI,TELAIO CARRELLATO 50KG POLV GIBI,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
130R,"TE IN GHISA RIDOTTA ATT.FIL. FF 2""X1/2""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
7770000153,"TE 130 ATT.FIL.GAS FFF4""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
7770000158,"TE 130 ATT.FIL.GAS FFF3/8""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
7770000157,"TE 130 ATT.FIL.GAS FFF3/4""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
7770000152,"TE 130 ATT.FIL.GAS FFF3""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
7770000161,"TE 130 ATT.FIL.GAS FFF2""1/2""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
7770000151,"TE 130 ATT.FIL.GAS FFF2""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
7770000155,"TE 130 ATT.FIL.GAS FFF1/4""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
7770000160,"TE 130 ATT.FIL.GAS FFF1""1/4""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
7770000159,"TE 130 ATT.FIL.GAS FFF1""1/2""",,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
TAPP.VVF,TAPPO IN PLASTICA ATT.VVF,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
0829EM,TAPPO IDR UNI70 OTT UNI7421 + CATENELLA,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
0827EM,TAPPO IDR UNI45 OTT. UNI7421+CATENELLA,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
1537EM,TAPPO GR ATT. WF MASCHIO POLIPR. UNI70,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
06198.14.0,TAPPO ANTERIORE COPRICARTER CISA,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
06198.15.0,TAPPO ANTERIORE COPRICARTER CISA,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
01805Z,TAMPONE SNODATO PER ELETTROMAGNETI D.55,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
TAGLIANDO/6,TAGLIANDO SEMESTRALE MOTOPOMPA,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
TAGLIANDO/24,TAGLIANDO BIENNALE MOTOPOMPA,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
TAGLIANDO/12,TAGLIANDO ANNUALE MOTOPOMPA,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
01740B,SUPPORTO TELESCOPICO PER ELETTROMAGNETE,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
0316R,SUPPORTO PORTAESTIN. KG.6 ROSSO,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
S6IXBIC,SUPPORTO PORTAESTIN. KG.6 NERO,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SUP/SCUOLE,SUPPORTO PORTAESTIN. KG.6 DA MURO SCUOLE,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SUP/APP,SUPPORTO PORTAESTIN. KG.6 DA APPOGGIO,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SUP/FASC,SUPPORTO PORTAESTIN. KG.6 A FASCETTA,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
0327EM,SUPPORTO PORTAESTIN. KG.2 FILO DI FERRO,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
1361 CSA,SUPPORTO PER MAGNETE 1360 PORTATA 100KG,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
4418034003,SUPPORTO PER ELETTROMAGNETE EM/S1,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
TELECA,STRUMENTO PORTATILE PER L'INDIRIZZAMENTO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
MINIBT-O,STRUMENTO PORTATILE PER INDIRIZZAMENTO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
INI SPS24160S,STAZIONE DI ALIMENTAZIONE INTELLIGENTE,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
0200EM,SPINOTTO DI CHIUSURA X CASS.PORTAEST.,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
4102005001,SPINOTTO CON MOLLA PER CERNIERE REI,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SPILLOVALVOLA,SPILLO PANCALDI PER BOMBOLETTE E.F.C.,,,Y,N,EFC,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SEN-S1455ME,SMART3NC METANO CATALITICO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SEN-S2640O2,SMART3G-C3 RILEVATORE OSSIGENO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SEN-S2096ME,SMART3G-C3 METANO SENSORE CATALITICO GAS,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SEN-S2097H2,SMART3G-C2 RIVELATORE IDROGENO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SEN-S2641O2,SMART3G-C2 OSSIGENO (O2),,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
64010003,SLITTA CON LEVA G N C34 ELOX PER TS91,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
NOT DSE1-PW,SIRENA PER ESTERNO CON LAMPEGG. LED,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
IMP016,SIRENA EVACUAZIONE,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
BOMB10,SIRENA CON BOMBOLA DI ATTIV.KG.10,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
600056,SFIGMOMANOMETRO POLSO DIGITALE,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
600051,SFIGMOMANOMETRO MANUALE DA POLSO,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
600150,SFIGMOMANOMETRO BRACCIO DIGITALE,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
3201101NZ,SERRATURA X PORTA PROGET NINZ,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SERR M/MA.ONE,SERRATURA REI MANIGLIA/MANIGLIONE 1703,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
3201001016,SERRATURA REI MANIGLIA/MANIGLIONE,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
3201001001,SERRATURA REI MANIGLIA/MANIGLIA,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SERR MM,SERRATURA REI MANIGLIA/MANIGLIA,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
3201001023,SERRATURA REI FLUSH BOLT ANTA PASSIVA,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
43110.65,SERRATURA REI ANTA PRIMARIA MAN/MAN.ONE,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
3201101/1,SERRATURA MAC ANTIPANICO MAC1 SX NINZ,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
3201101/3,SERRATURA MAC ANTIPAN. MAC1 FAILSAFE SX,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
3201001024,SERRATURA ANTIPANICO REI ANTA PASSIVA,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
43190.95,SERRATURA ANTA SECONDARIA E.95 PORTA REI,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
43190.65,SERRATURA ANTA SECONDARIA E.65 PORTA REI,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
43091.00,SERRATURA ANTA SECONDARIA CON LEVA,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SER1,SERRANDA TAGLIAFUOCO,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
8477EM,"SEPIOLITE POLV.20KG ASSORB. OLIO, BENZ.",,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
4007GH,SELLA SALVA MANICHETTA UNI70,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
5202GH,SELLA SALVA MANICHETTA UNI45,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
4210020001,SELETTORE DI CHIUSURA PER PORTE REI NINZ,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
8545,SELETTORE DI CHIUSURA G6-SILVER FAPIM,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
IMP024,SELETTORE CESSATO ALLARME,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
ZB4BGO,SELETTORE A CHIAVE (1),,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
93323 COM,SEGNALATORE LUM.P50S ROSSO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
93322 COM,SEGNALATORE LUM.P50S ARANCIO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
SECCHIO2EM,SECCHIELLO PER SABBIA CON COPERCHIO,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
949410203505,SCROCCHI LATER IDEA NO  ASTA/COPERT ISEO,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
949410201505,SCROCCHI A/B IDEA SENZA ASTA/COPERT ISEO,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
1834EM,SCHIUMOGENO AFFF 1% EWAB1 LT.25 0+60°,,,Y,N,EST,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
207 F200P,SCHIU PROSINTEX  FUSTO DA 200KG,,,Y,N,IMP,Cat. IVA 22% ,Kilogram,I,,0,0,N,,N,Y,,N,N,0,N,N
F100P,SCHIU PROSINTEX  FUSTO DA 100KG,,,Y,N,EST,Cat. IVA 22% ,Kilogram,I,,0,0,N,,N,Y,,N,N,0,N,N
RI/ATCA24,SCHEDA RELÈ E LED ALI25EN,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
